key	dnsmos	duration
dc4/0af11de4c9311	2.908182792224801	2.786875
dc5/82e879040933a	2.472640977642591	9.67075
dc6/eb1f4cc376a4f	3.1132237313379933	16.9444375
dc7/f0a0fd06ad09c	3.425324845372941	11.1920625
dc4/69014910b51a7	1.2295826126178744	2.6419375
dc5/69ba97b62a77d	3.094599769819495	15.1424375
dc6/60211e81f4b70	3.1709836557609252	5.1374375
dc7/6affeb421fb50	2.8514650739353784	3.1781875
dc4/1f97e79b94973	2.7926667911549607	4.0561875
dc5/025d906c92262	2.5805664741631364	6.894625
dc6/72b6143a3a57e	3.1832067704818336	4.3265625
dc7/6808648f3d91b	3.16966251505436	2.116125
dc4/0d89fe312d0ed	3.5364938793931793	9.8565625
dc5/cc76ca9f7c708	2.9110065388508666	2.165875
dc6/991f1ad185437	2.9693376217508107	1.345125
dc7/71737538cc0a1	3.0402946434080707	4.5876875
dc4/dca1c4f7be902	3.3579672187582985	7.6923125
dc5/f753133fbe15c	2.4210836270348426	2.7609375
dc6/12b45158335f4	2.683867753071108	4.21675
dc7/3c5f2b3636dcf	3.063469031784094	8.636
dc4/2c546b6de6a2f	3.311127224764338	8.5675625
dc5/b7435a752ed9f	2.4873497568314873	4.710125
dc6/42dec69ef99e2	3.267539722859151	8.0830625
dc7/35e6f93017143	3.3556489756675556	12.0264375
dc4/3ed444484890b	2.7798891315184506	5.2584375
dc5/a3c7cac6b418e	2.4243735155433783	2.5939375
dc6/92f13bfc12eba	2.505169890110195	7.379875
dc7/c8b8173ba21fa	2.876280387659671	3.7684375
dc4/69ae18c8448bf	2.8539026594537944	8.5739375
dc5/4dc3e4094987a	2.299123335696187	3.40625
dc6/d73618c73cfb5	3.226893823376093	5.7106875
dc7/92c24e56140bc	2.680298664259064	8.5231875
dc4/94a081ab60e61	2.81362087832103	2.935375
dc5/4a4221249be1c	2.363857434231662	3.3925
dc6/263306634d9c5	2.99587870911807	2.6455
dc7/6bf22d3b7113d	1.1298903847157298	1.1531875
dc4/7b8f2827500ab	3.1265984796979636	5.363875
dc5/fd623fb3fb48d	2.6513755645675428	1.4904375
dc6/ececa5476cecd	2.1806918832130013	4.057
dc7/097e3c3b8fb10	2.9522099052688877	3.183125
dc4/25e9388006541	3.1732253821796332	5.5944375
dc5/8d43167fdf58a	2.533478853909143	1.3936875
dc6/ee169189ed091	2.88220576095374	5.302125
dc7/ca7cd7a899932	3.3821513211099865	9.5354375
dc4/53f22d8cc5280	2.8871885487904896	9.369625
dc5/a4244eb729390	1.3710274591625977	4.66675
dc6/031304a1e9266	2.8346643979787483	1.3364375
dc7/8476f876132ae	3.0690927258156777	2.678
dc4/cc8347d53862c	1.3476366533043556	2.7400625
dc5/33616cbba6f4c	2.2325134020205613	9.217875
dc6/fa635ac3dfd85	2.230416621582421	2.04325
dc7/f91659aa61eb3	2.686303629133986	6.14925
dc4/26888780220f9	3.0150011180119463	8.0975
dc5/c3d6e7f1f1faf	3.3284074576253806	11.5295
dc6/6049760aa4340	3.0717912424855753	3.1071875
dc7/8f2e2f97c8b8c	2.6239066952064243	8.7538125
dc4/6e4dc90d4d458	3.153877541142088	8.784375
dc5/b14a3456f167f	3.0152615120726347	8.65875
dc6/fc1c5cbbe8bbb	2.8964083465267416	4.0766875
dc7/15720b886b98a	3.078408584671457	5.421
dc4/578b0cb920d72	2.389485983303823	1.827375
dc5/407a76dedc572	3.1919525101358195	11.7496875
dc6/58aa8ecb94c52	1.3485721794094034	3.7681875
dc7/8eb36c98d4efb	3.222721365995067	3.563125
dc4/a8aab5945547c	3.1537325014724966	20.6648125
dc5/105350f711e55	3.1542730584646144	6.2395625
dc6/5f61f7106201e	3.5008178158587078	7.9456875
dc7/d468c55c25f91	2.6783845269399693	5.5045
dc4/d73466cd46d7f	2.658509165431135	1.902875
dc5/07006f96754b5	2.195965432703006	3.2950625
dc6/e8bc18c3146a5	2.872274104930784	2.906125
dc7/07742265e818b	2.934281991833449	6.0508125
dc4/d4213ef26319f	3.4469341564649953	6.5425
dc5/b5eb222b73654	3.1253204761081697	8.3926875
dc6/5ec6a774d4ef7	3.3066468526161183	13.5059375
dc7/31df750daf36f	3.181497410334494	3.0331875
dc4/a9c963cb30475	2.8952803851357607	3.7525625
dc5/803b7c83f02a6	3.478433372430934	15.1149375
dc6/3304f926cb050	2.974788676112417	2.415125
dc7/66496393858e8	2.226178261516285	2.8985625
dc4/b89c796e94863	2.0967728506429606	5.1804375
dc5/501d89901423a	2.6455403051438466	3.984875
dc6/ed128812c1a95	2.1089630807390827	1.5285
dc7/2201d3e7e8155	3.1660218725142495	7.063
dc4/6e5119d1a214d	3.252082132721157	6.606875
dc5/802ac043166cb	2.4723895968219125	5.3663125
dc6/d444d7c7a4392	1.5552890176593497	1.9714375
dc7/cc0555dc63d12	1.4474316487898513	3.90975
dc4/e72f6ca57ae41	2.760251457686463	3.9859375
dc5/eb7e46329a773	2.9993563943629353	4.62025
dc6/98d00d0fb3e8a	2.8075650666779337	8.83325
dc7/d8d769c89bfaa	3.064075138688002	5.2708125
dc4/d2aabf15ced15	3.2912797050353597	8.8493125
dc5/2837a9800da88	3.2416982839593875	10.724625
dc6/bd2fe3522607b	2.8820260689502724	3.451625
dc7/7a8435c3ed8f3	2.3736992038946347	3.1638125
dc4/e6f2538c3d5e8	3.0292742770825294	2.96125
dc5/0bbe560731074	1.941239084191968	1.400875
dc6/21e671ea92a37	1.6021922627900673	2.483625
